№№;Название;Фото;Категория;Количество, шт. ;Размеры (ВхШхГ);Материалы;Наименование;Заметки;Гарнитур;Оценка (агент TwoTables), за 1 шт. 
78;Диван белый;;Диван;1;79x220x105;Каркас - дерево, обивка - ткань;Yide (Китай);;Да, кресло белое №68;80 000 ₽
79;Диван бежевый;;Диван;1;83x221x110;Каркас - дерево, обивка - ткань;George Smith LTD, Newcastle England.;;;80 000 ₽
80;Комод черный лакированый;;Комод;1;157x57x44;Каркас - массив, покрыто шпоном;;6 выдвижных ящиков, 5 ключей, один ключ сломан в замке. Дефекты на шпоне;;
81;Тумба овальная на изогнутых ножках с открывающейся крышкой;;Комод;1;145x64x39;Каркас - массив, покрыто шпоном;;С аукциона HEDLEYS HUMPERS LIMITED;;70 000 ₽
82;Тумба с постаментом для фигуры в китайском стиле;;Тумба;2;115x38x38;Каркас - дерево, столешница - камень;;;;
83;Тумба без постамента;;Тумба;2;115x38x38;Каркас - дерево, столешница - камень;;;;
84;Этажерка резная в китайском стиле;;Этажерка;1;200x54x54;Дерево;;;;
85;Подставка для вазы с вазой;;Ваза;1;118x48x48;Каркас - дерево, ваза - стекло, декоративные элементы - металл;;;;
86;Консоль с белой каменной стоешницей и зеркалом;;Консоль;1;87x227x50;Каркас - дерево, ноги - дерево, декор по фасаду - металл, столешница - мрамор;;Необходим ремонт ножки, зеркало потемнело;;
87;Гарнитур из стульев;;Стул;7;112x57x61;Каркас - дерево, обивка - ткань;Romanes Classic Furniture;;Да, гарнитур из 7 шт.;
88;Шкаф гардеробный малый;;Шкаф;1;157x122x56;Каркас - массив, покрыто шпоном;;Сломана нога, дерево повреждено жучками;;
89;Шкаф гардеробный большой;;Шкаф;1;190x127x45;Каркас - массив, покрыто шпоном;;Сломана нога, дерево повреждено жучками;;100 000 ₽
90;Витрина;;Шкаф;1;176x121x62;Каркас - массив, покрыто шпоном;;;;100 000 ₽
91;Стол письменный детский;;Детская мебель;1;76x129x80;МДФ крашеный;;;;
92;СТол журнальный детский;;Детская мебель;1;51x70x70;МДФ крашеный;;;;
93;Стол круглый детский;;Детская мебель;1;69x55x55;МДФ крашеный;;;;
94;Комод с витринами и ТВ-зоной для детской;;Детская мебель;1;160x250x61;МДФ крашеный;;;Да, из 4-х предметов + поз. №№91, 92, 93;
95;Шкаф шинуазри старинный;;Шкаф;1;162x107x44;Массив с росписью;;;;200 000 ₽
96;Шкаф шинуазри новый;;Шкаф;1;240x120x60;;;;;150 000 ₽
97;Стол письменный шинуазри;;Стол письменный;1;83x180x90;;;;;300 000 ₽
98;Тумбочка шинуазри;;Тумба;1;80x45x45;;;;;
99;Диван кожаный;;Диван;1;95x180x104;Обивка - кожа;Thomasville;3 подушки;;
100;Диван LOVE;;Диван;1;;Обивка - ткань, без каркаса;;;;
101;Гарнитур для ванной;;Шкаф;1;85x124x45;Каркас - дерево, столешница - дерево;;;;
102;Комплект сундуков;;Тумба;3;59x52x52, 59x52x32, 27x47x27;Каркас - дерево, декор и ножки - металл;;;да;
103;Комод без столешницы;;Комод;1;90x127x56;Каркас - дерево, покрытие шпоном. Нет столешницы;;;;
104;Консоль короткая без столешницы;;Консоль;1;79x85x50;Каркас - дерево, покрытие шпоном. Нет столешницы;;Есть один ключ, 2 выдвижных ящика по боками. С аукциона HEDLEYS HUMPERS LIMITED;;
;;;;;;;;;;2 580 000 ₽
